"","date","year","month","day"
"412",1980-02-16,1980,2,16
"413",1980-02-17,1980,2,17
"414",1980-02-18,1980,2,18
"415",1980-02-19,1980,2,19
"416",1980-02-20,1980,2,20
"417",1980-02-21,1980,2,21
"418",1980-02-22,1980,2,22
"419",1980-02-23,1980,2,23
"420",1980-02-24,1980,2,24
"421",1980-02-25,1980,2,25
"422",1980-02-26,1980,2,26
"423",1980-02-27,1980,2,27
"424",1980-02-28,1980,2,28
"425",1980-02-29,1980,2,29
"426",1980-03-01,1980,3,1
"427",1980-03-02,1980,3,2
"428",1980-03-03,1980,3,3
"429",1980-03-04,1980,3,4
"430",1980-03-05,1980,3,5
"431",1980-03-06,1980,3,6
"432",1980-03-07,1980,3,7
"433",1980-03-08,1980,3,8
"434",1980-03-09,1980,3,9
"435",1980-03-10,1980,3,10
"436",1980-03-11,1980,3,11
"437",1980-03-12,1980,3,12
"438",1980-03-13,1980,3,13
"439",1980-03-14,1980,3,14
"440",1980-03-15,1980,3,15
"441",1980-03-16,1980,3,16
"442",1980-03-17,1980,3,17
"443",1980-03-18,1980,3,18
"444",1980-03-19,1980,3,19
"445",1980-03-20,1980,3,20
"446",1980-03-21,1980,3,21
"447",1980-03-22,1980,3,22
"448",1980-03-23,1980,3,23
"449",1980-03-24,1980,3,24
"450",1980-03-25,1980,3,25
"451",1980-03-26,1980,3,26
"452",1980-03-27,1980,3,27
"453",1980-03-28,1980,3,28
"454",1980-03-29,1980,3,29
"455",1980-03-30,1980,3,30
"456",1980-03-31,1980,3,31
"457",1980-04-01,1980,4,1
"458",1980-04-02,1980,4,2
"459",1980-04-03,1980,4,3
"460",1980-04-04,1980,4,4
"461",1980-04-05,1980,4,5
"462",1980-04-06,1980,4,6
"463",1980-04-07,1980,4,7
"464",1980-04-08,1980,4,8
"465",1980-04-09,1980,4,9
"466",1980-04-10,1980,4,10
"467",1980-04-11,1980,4,11
"468",1980-04-12,1980,4,12
"469",1980-04-13,1980,4,13
"470",1980-04-14,1980,4,14
"471",1980-04-15,1980,4,15
"472",1980-04-16,1980,4,16
"473",1980-04-17,1980,4,17
"474",1980-04-18,1980,4,18
"475",1980-04-19,1980,4,19
"476",1980-04-20,1980,4,20
"477",1980-04-21,1980,4,21
"478",1980-04-22,1980,4,22
"479",1980-04-23,1980,4,23
"480",1980-04-24,1980,4,24
"481",1980-04-25,1980,4,25
"482",1980-04-26,1980,4,26
"483",1980-04-27,1980,4,27
"484",1980-04-28,1980,4,28
"485",1980-04-29,1980,4,29
"486",1980-04-30,1980,4,30
"487",1980-05-01,1980,5,1
"488",1980-05-02,1980,5,2
"489",1980-05-03,1980,5,3
"490",1980-05-04,1980,5,4
"491",1980-05-05,1980,5,5
"492",1980-05-06,1980,5,6
"493",1980-05-07,1980,5,7
"494",1980-05-08,1980,5,8
"495",1980-05-09,1980,5,9
"496",1980-05-10,1980,5,10
"497",1980-05-11,1980,5,11
"498",1980-05-12,1980,5,12
"499",1980-05-13,1980,5,13
"500",1980-05-14,1980,5,14
"501",1980-05-15,1980,5,15
"502",1980-05-16,1980,5,16
"503",1980-05-17,1980,5,17
"504",1980-05-18,1980,5,18
"505",1980-05-19,1980,5,19
"506",1980-05-20,1980,5,20
"507",1980-05-21,1980,5,21
"508",1980-05-22,1980,5,22
"509",1980-05-23,1980,5,23
"510",1980-05-24,1980,5,24
"511",1980-05-25,1980,5,25
"512",1980-05-26,1980,5,26
"513",1980-05-27,1980,5,27
"514",1980-05-28,1980,5,28
"515",1980-05-29,1980,5,29
"516",1980-05-30,1980,5,30
"517",1980-05-31,1980,5,31
"518",1980-06-01,1980,6,1
"519",1980-06-02,1980,6,2
"520",1980-06-03,1980,6,3
"521",1980-06-04,1980,6,4
"522",1980-06-05,1980,6,5
"523",1980-06-06,1980,6,6
"524",1980-06-07,1980,6,7
"525",1980-06-08,1980,6,8
"526",1980-06-09,1980,6,9
"527",1980-06-10,1980,6,10
"528",1980-06-11,1980,6,11
"529",1980-06-12,1980,6,12
"530",1980-06-13,1980,6,13
"531",1980-06-14,1980,6,14
"532",1980-06-15,1980,6,15
"533",1980-06-16,1980,6,16
"534",1980-06-17,1980,6,17
"535",1980-06-18,1980,6,18
"536",1980-06-19,1980,6,19
"537",1980-06-20,1980,6,20
"538",1980-06-21,1980,6,21
"539",1980-06-22,1980,6,22
"540",1980-06-23,1980,6,23
"541",1980-06-24,1980,6,24
"542",1980-06-25,1980,6,25
"543",1980-06-26,1980,6,26
"544",1980-06-27,1980,6,27
"545",1980-06-28,1980,6,28
"546",1980-06-29,1980,6,29
"547",1980-06-30,1980,6,30
"548",1980-07-01,1980,7,1
"549",1980-07-02,1980,7,2
"550",1980-07-03,1980,7,3
"551",1980-07-04,1980,7,4
"552",1980-07-05,1980,7,5
"553",1980-07-06,1980,7,6
"554",1980-07-07,1980,7,7
"555",1980-07-08,1980,7,8
"556",1980-07-09,1980,7,9
"557",1980-07-10,1980,7,10
"558",1980-07-11,1980,7,11
"559",1980-07-12,1980,7,12
"560",1980-07-13,1980,7,13
"561",1980-07-14,1980,7,14
"562",1980-07-15,1980,7,15
"563",1980-07-16,1980,7,16
"564",1980-07-17,1980,7,17
"565",1980-07-18,1980,7,18
"566",1980-07-19,1980,7,19
"567",1980-07-20,1980,7,20
"568",1980-07-21,1980,7,21
"569",1980-07-22,1980,7,22
"570",1980-07-23,1980,7,23
"571",1980-07-24,1980,7,24
"572",1980-07-25,1980,7,25
"573",1980-07-26,1980,7,26
"574",1980-07-27,1980,7,27
"575",1980-07-28,1980,7,28
"576",1980-07-29,1980,7,29
"577",1980-07-30,1980,7,30
"578",1980-07-31,1980,7,31
"579",1980-08-01,1980,8,1
"580",1980-08-02,1980,8,2
"581",1980-08-03,1980,8,3
"582",1980-08-04,1980,8,4
"583",1980-08-05,1980,8,5
"584",1980-08-06,1980,8,6
"585",1980-08-07,1980,8,7
"586",1980-08-08,1980,8,8
"587",1980-08-09,1980,8,9
"588",1980-08-10,1980,8,10
"589",1980-08-11,1980,8,11
"590",1980-08-12,1980,8,12
"591",1980-08-13,1980,8,13
"592",1980-08-14,1980,8,14
"593",1980-08-15,1980,8,15
"594",1980-08-16,1980,8,16
"595",1980-08-17,1980,8,17
"596",1980-08-18,1980,8,18
"597",1980-08-19,1980,8,19
"598",1980-08-20,1980,8,20
"599",1980-08-21,1980,8,21
"600",1980-08-22,1980,8,22
"601",1980-08-23,1980,8,23
"602",1980-08-24,1980,8,24
"603",1980-08-25,1980,8,25
"604",1980-08-26,1980,8,26
"605",1980-08-27,1980,8,27
"606",1980-08-28,1980,8,28
"607",1980-08-29,1980,8,29
"608",1980-08-30,1980,8,30
"609",1980-08-31,1980,8,31
"610",1980-09-01,1980,9,1
"611",1980-09-02,1980,9,2
"612",1980-09-03,1980,9,3
"613",1980-09-04,1980,9,4
"614",1980-09-05,1980,9,5
"615",1980-09-06,1980,9,6
"616",1980-09-07,1980,9,7
"617",1980-09-08,1980,9,8
"618",1980-09-09,1980,9,9
"619",1980-09-10,1980,9,10
"620",1980-09-11,1980,9,11
"621",1980-09-12,1980,9,12
"622",1980-09-13,1980,9,13
"623",1980-09-14,1980,9,14
"624",1980-09-15,1980,9,15
"625",1980-09-16,1980,9,16
"626",1980-09-17,1980,9,17
"627",1980-09-18,1980,9,18
"628",1980-09-19,1980,9,19
"629",1980-09-20,1980,9,20
"630",1980-09-21,1980,9,21
"631",1980-09-22,1980,9,22
"632",1980-09-23,1980,9,23
"633",1980-09-24,1980,9,24
"634",1980-09-25,1980,9,25
"635",1980-09-26,1980,9,26
"636",1980-09-27,1980,9,27
"637",1980-09-28,1980,9,28
"638",1980-09-29,1980,9,29
"639",1980-09-30,1980,9,30
"640",1980-10-01,1980,10,1
"641",1980-10-02,1980,10,2
"642",1980-10-03,1980,10,3
"643",1980-10-04,1980,10,4
"644",1980-10-05,1980,10,5
"645",1980-10-06,1980,10,6
"646",1980-10-07,1980,10,7
"647",1980-10-08,1980,10,8
"648",1980-10-09,1980,10,9
"649",1980-10-10,1980,10,10
"650",1980-10-11,1980,10,11
"651",1980-10-12,1980,10,12
"652",1980-10-13,1980,10,13
"653",1980-10-14,1980,10,14
"654",1980-10-15,1980,10,15
"655",1980-10-16,1980,10,16
"656",1980-10-17,1980,10,17
"657",1980-10-18,1980,10,18
"658",1980-10-19,1980,10,19
"659",1980-10-20,1980,10,20
"660",1980-10-21,1980,10,21
"661",1980-10-22,1980,10,22
"662",1980-10-23,1980,10,23
"663",1980-10-24,1980,10,24
"664",1980-10-25,1980,10,25
"665",1980-10-26,1980,10,26
"666",1980-10-27,1980,10,27
"667",1980-10-28,1980,10,28
"668",1980-10-29,1980,10,29
"669",1980-10-30,1980,10,30
"670",1980-10-31,1980,10,31
"671",1980-11-01,1980,11,1
"672",1980-11-02,1980,11,2
"673",1980-11-03,1980,11,3
"674",1980-11-04,1980,11,4
"675",1980-11-05,1980,11,5
"676",1980-11-06,1980,11,6
"677",1980-11-07,1980,11,7
"678",1980-11-08,1980,11,8
"679",1980-11-09,1980,11,9
"680",1980-11-10,1980,11,10
"681",1980-11-11,1980,11,11
"682",1980-11-12,1980,11,12
"683",1980-11-13,1980,11,13
"684",1980-11-14,1980,11,14
"685",1980-11-15,1980,11,15
"686",1980-11-16,1980,11,16
"687",1980-11-17,1980,11,17
"688",1980-11-18,1980,11,18
"689",1980-11-19,1980,11,19
"690",1980-11-20,1980,11,20
"691",1980-11-21,1980,11,21
"692",1980-11-22,1980,11,22
"693",1980-11-23,1980,11,23
"694",1980-11-24,1980,11,24
"695",1980-11-25,1980,11,25
"696",1980-11-26,1980,11,26
"697",1980-11-27,1980,11,27
"698",1980-11-28,1980,11,28
"699",1980-11-29,1980,11,29
"700",1980-11-30,1980,11,30
"701",1980-12-01,1980,12,1
"702",1980-12-02,1980,12,2
"703",1980-12-03,1980,12,3
"704",1980-12-04,1980,12,4
"705",1980-12-05,1980,12,5
"706",1980-12-06,1980,12,6
"707",1980-12-07,1980,12,7
"708",1980-12-08,1980,12,8
"709",1980-12-09,1980,12,9
"710",1980-12-10,1980,12,10
"711",1980-12-11,1980,12,11
"712",1980-12-12,1980,12,12
"713",1980-12-13,1980,12,13
"714",1980-12-14,1980,12,14
"715",1980-12-15,1980,12,15
"716",1980-12-16,1980,12,16
"717",1980-12-17,1980,12,17
"718",1980-12-18,1980,12,18
"719",1980-12-19,1980,12,19
"720",1980-12-20,1980,12,20
"721",1980-12-21,1980,12,21
"722",1980-12-22,1980,12,22
"723",1980-12-23,1980,12,23
"724",1980-12-24,1980,12,24
"725",1980-12-25,1980,12,25
"726",1980-12-26,1980,12,26
"727",1980-12-27,1980,12,27
"728",1980-12-28,1980,12,28
"729",1980-12-29,1980,12,29
"730",1980-12-30,1980,12,30
"731",1980-12-31,1980,12,31
"732",1981-01-01,1981,1,1
"733",1981-01-02,1981,1,2
"734",1981-01-03,1981,1,3
"735",1981-01-04,1981,1,4
"736",1981-01-05,1981,1,5
"737",1981-01-06,1981,1,6
"738",1981-01-07,1981,1,7
"739",1981-01-08,1981,1,8
"740",1981-01-09,1981,1,9
"741",1981-01-10,1981,1,10
"742",1981-01-11,1981,1,11
"743",1981-01-12,1981,1,12
"744",1981-01-13,1981,1,13
"745",1981-01-14,1981,1,14
"746",1981-01-15,1981,1,15
"747",1981-01-16,1981,1,16
"748",1981-01-17,1981,1,17
"749",1981-01-18,1981,1,18
"750",1981-01-19,1981,1,19
"751",1981-01-20,1981,1,20
"752",1981-01-21,1981,1,21
"753",1981-01-22,1981,1,22
"754",1981-01-23,1981,1,23
"755",1981-01-24,1981,1,24
"756",1981-01-25,1981,1,25
"757",1981-01-26,1981,1,26
"758",1981-01-27,1981,1,27
"759",1981-01-28,1981,1,28
"760",1981-01-29,1981,1,29
"761",1981-01-30,1981,1,30
"762",1981-01-31,1981,1,31
"763",1981-02-01,1981,2,1
"764",1981-02-02,1981,2,2
"765",1981-02-03,1981,2,3
"766",1981-02-04,1981,2,4
"767",1981-02-05,1981,2,5
"768",1981-02-06,1981,2,6
"769",1981-02-07,1981,2,7
"770",1981-02-08,1981,2,8
"771",1981-02-09,1981,2,9
"772",1981-02-10,1981,2,10
"773",1981-02-11,1981,2,11
"774",1981-02-12,1981,2,12
"775",1981-02-13,1981,2,13
"776",1981-02-14,1981,2,14
"777",1981-02-15,1981,2,15
"778",1981-02-16,1981,2,16
"779",1981-02-17,1981,2,17
"780",1981-02-18,1981,2,18
"781",1981-02-19,1981,2,19
"782",1981-02-20,1981,2,20
"783",1981-02-21,1981,2,21
"784",1981-02-22,1981,2,22
"785",1981-02-23,1981,2,23
"786",1981-02-24,1981,2,24
"787",1981-02-25,1981,2,25
"788",1981-02-26,1981,2,26
"789",1981-02-27,1981,2,27
"790",1981-02-28,1981,2,28
"791",1981-03-01,1981,3,1
"792",1981-03-02,1981,3,2
"793",1981-03-03,1981,3,3
"794",1981-03-04,1981,3,4
"795",1981-03-05,1981,3,5
"796",1981-03-06,1981,3,6
"797",1981-03-07,1981,3,7
"798",1981-03-08,1981,3,8
"799",1981-03-09,1981,3,9
"800",1981-03-10,1981,3,10
"801",1981-03-11,1981,3,11
"802",1981-03-12,1981,3,12
"803",1981-03-13,1981,3,13
"804",1981-03-14,1981,3,14
"805",1981-03-15,1981,3,15
"806",1981-03-16,1981,3,16
"807",1981-03-17,1981,3,17
"808",1981-03-18,1981,3,18
"809",1981-03-19,1981,3,19
"810",1981-03-20,1981,3,20
"811",1981-03-21,1981,3,21
"812",1981-03-22,1981,3,22
"813",1981-03-23,1981,3,23
"814",1981-03-24,1981,3,24
"815",1981-03-25,1981,3,25
"816",1981-03-26,1981,3,26
"817",1981-03-27,1981,3,27
"818",1981-03-28,1981,3,28
"819",1981-03-29,1981,3,29
"820",1981-03-30,1981,3,30
"821",1981-03-31,1981,3,31
